time,open,high,low,close,vol
2023-11-01,"1,636.00","1,636.00","1,612.50","1,616.00",56
2023-10-31,"1,633.50","1,634.00","1,620.50","1,624.50",40
2023-10-30,"1,610.00","1,613.50","1,607.00","1,612.00",111
2023-10-29,"1,619.50","1,621.00","1,599.50","1,607.00",550
2023-10-26,"1,624.00","1,626.00","1,615.00","1,621.50",437
2023-10-25,"1,611.00","1,629.00","1,608.00","1,624.50",654
2023-10-24,"1,607.50","1,612.00","1,590.00","1,612.00",834
2023-10-23,"1,609.00","1,618.00","1,603.50","1,611.50","1,264"
2023-10-22,"1,583.50","1,619.50","1,583.50","1,609.50","1,409"
2023-10-19,"1,577.50","1,590.00","1,576.50","1,583.50",496
2023-10-18,"1,585.00","1,592.50","1,576.50","1,577.50",455
2023-10-17,"1,586.00","1,594.00","1,582.50","1,586.00",979
2023-10-16,"1,579.50","1,599.00","1,578.50","1,585.50",426
2023-10-15,"1,595.00","1,596.00","1,575.50","1,580.50",412
2023-10-12,"1,592.50","1,600.50","1,586.00","1,595.50",464
2023-10-11,"1,591.00","1,605.00","1,589.50","1,593.00",538
2023-10-10,"1,589.50","1,596.00","1,578.50","1,593.00",676
2023-10-09,"1,581.00","1,593.50","1,563.00","1,587.00",932
2023-10-08,"1,602.00","1,607.00","1,564.50","1,582.50",796
2023-10-05,"1,565.00","1,609.00","1,565.00","1,604.50",541
2023-10-04,"1,564.50","1,579.00","1,560.00","1,567.50",703
2023-10-03,"1,577.00","1,580.00","1,563.50","1,564.50",666
2023-10-02,"1,589.00","1,589.00","1,573.00","1,576.50",615
2023-10-01,"1,588.50","1,605.00","1,587.50","1,588.00",535
2023-09-28,"1,609.00","1,609.00","1,582.50","1,591.00",637
2023-09-27,"1,610.00","1,620.00","1,607.00","1,613.00",428
2023-09-26,"1,619.00","1,626.50","1,605.50","1,617.50",423
2023-09-25,"1,587.00","1,621.00","1,582.50","1,619.00",324
2023-09-24,"1,582.50","1,596.50","1,579.50","1,585.00",300
2023-09-21,"1,581.00","1,588.50","1,576.50","1,582.50",260
2023-09-20,"1,596.00","1,600.00","1,579.50","1,579.50",343
2023-09-19,"1,596.00","1,615.00","1,590.50","1,596.00",161
2023-09-18,"1,598.00","1,605.00","1,583.00","1,603.00",441
2023-09-17,"1,626.00","1,629.50","1,597.00","1,601.50",378
2023-09-14,"1,622.50","1,629.00","1,614.00","1,621.50",304
2023-09-13,"1,646.00","1,646.00","1,646.00","1,646.00",770
2023-09-12,"1,592.50","1,612.00","1,590.00","1,612.00",12
2023-09-11,"1,573.00","1,582.50","1,573.00","1,581.00",154
2023-09-10,"1,581.50","1,581.50","1,581.50","1,581.50",-
2023-09-07,"1,610.00","1,610.00","1,610.00","1,610.00",1
2023-09-06,"1,660.00","1,660.00","1,625.50","1,625.50",4
2023-09-05,"1,675.00","1,675.00","1,675.00","1,675.00",1
2023-09-04,"1,668.50","1,686.00","1,668.50","1,686.00",40
2023-08-31,"1,664.50","1,664.50","1,664.50","1,664.50",66
2023-08-30,"1,679.00","1,679.00","1,679.00","1,679.00",27
2023-08-29,"1,645.50","1,682.50","1,640.00","1,670.50",109
2023-08-28,"1,604.50","1,654.50","1,596.00","1,654.50",554
2023-08-27,"1,570.50","1,610.00","1,570.50","1,608.00","1,045"
2023-08-24,"1,571.50","1,587.50","1,563.50","1,568.00",798
2023-08-23,"1,540.00","1,575.00","1,540.00","1,571.50",914
2023-08-22,"1,548.00","1,550.50","1,540.50","1,544.00",868
2023-08-21,"1,551.50","1,560.50","1,547.00","1,549.00",611
2023-08-20,"1,556.00","1,565.00","1,549.50","1,551.50",776
2023-08-17,"1,554.00","1,560.50","1,552.00","1,554.50",854
2023-08-16,"1,562.00","1,568.50","1,552.00","1,553.50",792
2023-08-15,"1,559.00","1,567.50","1,553.50","1,555.00",874
2023-08-14,"1,563.00","1,570.00","1,554.00","1,558.50",369
2023-08-13,"1,590.50","1,597.00","1,561.50","1,563.50",835
2023-08-10,"1,603.00","1,620.00","1,590.00","1,599.00",410
2023-08-09,"1,605.00","1,616.00","1,600.00","1,603.50",722
2023-08-08,"1,590.50","1,612.50","1,584.00","1,607.00",281
2023-08-07,"1,583.00","1,597.50","1,575.50","1,589.00",293
2023-08-06,"1,589.50","1,605.00","1,570.00","1,592.00",392
2023-08-03,"1,600.50","1,612.50","1,590.00","1,595.00",392
2023-08-02,"1,593.50","1,618.00","1,587.50","1,608.00",526
2023-08-01,"1,586.00","1,596.00","1,564.00","1,593.50",270
2023-07-31,"1,545.50","1,608.50","1,545.50","1,584.50",879
2023-07-30,"1,557.50","1,557.50","1,536.00","1,547.00",690
2023-07-27,"1,574.00","1,574.00","1,557.00","1,562.50",248
2023-07-26,"1,564.50","1,598.00","1,564.50","1,579.00",342
2023-07-25,"1,587.50","1,596.00","1,553.00","1,584.50",476
2023-07-24,"1,610.00","1,631.00","1,567.50","1,593.00","1,314"
2023-07-23,"1,589.50","1,621.00","1,589.50","1,619.50",825
2023-07-20,"1,586.00","1,590.00","1,574.00","1,590.00",556
2023-07-19,"1,559.00","1,598.00","1,552.50","1,588.50","1,231"
2023-07-18,"1,555.50","1,570.00","1,550.00","1,564.50",492
2023-07-17,"1,531.00","1,562.00","1,531.00","1,557.50",412
2023-07-16,"1,544.50","1,556.00","1,500.00","1,536.50",533
2023-07-13,"1,780.00","1,780.00","1,765.00","1,772.50",454
2023-07-12,"1,890.00","1,890.00","1,890.00","1,890.00",-
2023-07-11,"1,915.00","1,950.00","1,885.00","1,919.50",30
2023-07-10,"1,895.00","1,950.00","1,895.00","1,916.00",125
2023-07-09,"1,900.00","1,910.00","1,880.00","1,910.00",18
2023-07-06,"1,850.50","1,875.00","1,843.00","1,868.50",23
2023-07-05,"1,845.00","1,870.00","1,830.00","1,864.00",11
2023-07-04,"1,825.00","1,850.00","1,824.50","1,827.00",26
2023-07-03,"1,849.50","1,850.00","1,804.50","1,804.50",50
2023-06-29,"1,769.50","1,850.50","1,740.00","1,805.50",75
2023-06-28,"1,738.50","1,809.00","1,738.00","1,770.50",65
2023-06-27,"1,760.00","1,766.50","1,722.00","1,748.50",76
2023-06-26,"1,790.00","1,800.00","1,766.00","1,767.50",180
2023-06-25,"1,784.50","1,814.00","1,784.50","1,794.00",214
2023-06-22,"1,760.00","1,777.00","1,751.00","1,770.00",325
2023-06-21,"1,755.00","1,770.00","1,742.50","1,761.00",122
2023-06-20,"1,725.00","1,754.50","1,720.00","1,745.00",229
2023-06-19,"1,799.00","1,799.00","1,713.00","1,719.00",910
2023-06-15,"1,775.00","1,809.50","1,763.50","1,779.50",446
2023-06-14,"1,760.00","1,806.50","1,759.00","1,774.00",557
2023-06-13,"1,832.00","1,832.00","1,750.00","1,762.50",715
2023-06-12,"1,955.00","1,967.00","1,846.50","1,846.50",659
2023-06-11,"1,870.50","1,992.00","1,870.50","1,966.50",777
2023-06-08,"1,877.00","1,942.50","1,857.00","1,902.50",748
2023-06-07,"1,830.00","1,879.50","1,828.00","1,878.00",825
2023-06-06,"1,816.50","1,833.50","1,793.00","1,831.00",541
2023-06-05,"1,792.50","1,816.50","1,792.50","1,812.50",582
2023-06-04,"1,769.00","1,807.50","1,763.00","1,793.50",643
2023-06-01,"1,748.00","1,778.00","1,733.00","1,769.00",454
2023-05-31,"1,717.00","1,764.50","1,716.00","1,748.00",406
2023-05-30,"1,704.50","1,731.50","1,684.00","1,729.00",587
2023-05-29,"1,707.00","1,742.50","1,693.50","1,703.00",448
2023-05-25,"1,668.00","1,721.00","1,660.00","1,707.00",445
2023-05-24,"1,663.00","1,680.50","1,659.50","1,660.00",622
2023-05-23,"1,669.00","1,680.50","1,660.00","1,661.50",745
2023-05-22,"1,686.50","1,687.00","1,666.00","1,669.00",682
2023-05-21,"1,709.50","1,726.50","1,670.50","1,683.50",805
2023-05-18,"1,732.50","1,740.00","1,706.00","1,706.50",494
2023-05-17,"1,753.00","1,761.00","1,733.00","1,733.50",329
